id,topic,grade,grade_label,citation,doi,url,doi_url,population,altitude,exposure,design,effect,limitations,relevance
E11,match_outcomes,soccer_pro,Soccer — professional/senior,"Chumacero RA 2009, J Sports Econ ('Altitude or Hot Air?')",10.1177/1527002509336217,,https://doi.org/10.1177/1527002509336217,"72 South American World Cup qualifiers (1998, 2002, 2006 cycles)",Venues >2500 m vs lower,Not applicable,"Bivariate Poisson / ordered probit with team-quality controls (FIFA ranking, form)",No statistically significant altitude effect on match outcome or score once team quality is controlled.,Small sample (72 matches); controls capture long-run quality only.,Contested evidence: the outcome-level altitude effect is smaller/noisier than McSharry implies.
E12,match_outcomes,soccer_pro,Soccer — professional/senior,"Cabrera Hernández M, García-Corzo S, Povea Combariza C et al. 2021, J Hum Sport Exerc",10.14198/jhse.2023.181.04,,https://doi.org/10.14198/jhse.2023.181.04,CONMEBOL Libertadores club matches 2000-2015,Venues at various altitudes; ascending vs descending,Short club acclimatisation periods,Retrospective multinomial regression on results and goals,Home team win probability >50%; authors report that descending (altitude club visiting low altitude) had a greater negative impact on results than ascending.,Observational club data; confounded by team quality and travel; magnitude not extracted in this session.,Cautions against assuming altitude clubs gain at sea level.
E13,technical,soccer_pro,Soccer — professional/senior,"Tovar J 2014, J Quant Anal Sports ('Gasping for air')",10.1515/jqas-2014-0035,,https://doi.org/10.1515/jqas-2014-0035,Copa Libertadores players (OPTA event data),Away matches >2500 m vs <2500 m,Not applicable,Player-level regression with opponent fixed effects,"Percentage of successful passes ROSE by ~5.6 percentage points at >2500 m, driven by passing in own half; most other indicators showed no altitude effect. Interpreted as increased risk aversion (behavioural), not improved skill.",Observational; pass success confounds skill with pass choice; no physiological measures.,No evidence of a technical-execution decline; players change decisions (safer passes).
E14,acclimatization_timecourse,consensus_statement,Consensus / position statement,"Bärtsch P, Saltin B, Dvorak J 2008, Scand J Med Sci Sports (FIFA consensus)",10.1111/j.1600-0838.2008.00837.x,,https://doi.org/10.1111/j.1600-0838.2008.00837.x,FIFA Medical Assessment and Research Centre expert consensus,"Zones: low ~500-2000 m, moderate ~2000-3000 m, high >3000 m","Recommended acclimatisation: ~3-5 days for low altitude, 1-2 weeks for moderate, >=2 weeks for high altitude",Expert consensus,"Defines zones: near sea level 0-500 m; low 500-2000 m (minor, detectable aerobic impairment); moderate 2000-3000 m (AMS begins, acclimatisation increasingly important); high 3000-5500 m (performance considerably impaired, AMS clinically relevant). Suggests acclimatisation of 3-5 days for low, 1-2 weeks for moderate, >=2 weeks for high altitude; impact differs for players living at >=1500 m.","Zone definitions and day-counts summarised from papers citing the consensus (full text not read in this session); consensus, not trial evidence.",Anchors the 'days since arrival' control.
E15,aerobic_endurance,review_or_meta,Review / meta-analysis,"Gore CJ, McSharry PE, Hewitt AJ, Saunders PU 2008, Scand J Med Sci Sports",10.1111/j.1600-0838.2008.00836.x,,https://doi.org/10.1111/j.1600-0838.2008.00836.x,Review (South American match data + physiology),2000-3600 m,First few days,Narrative review with re-analysis of ~100 years of match data,In the first days at 3600 m some players have AMS symptoms and VO2max is ~25% reduced; home advantage above ~2000 m is 'more than compensated' by sea-level teams winning at home against the same opponents; 1-2 weeks at altitude is a reasonable preparation compromise.,"Review; ~25% figure is a summary statement, not a soccer measurement.",Sets acute VO2max loss at 3600 m; supports 'no bonus for altitude teams at sea level'.
E16,other,review_or_meta,Review / meta-analysis,"Levine BD, Stray-Gundersen J, Mehta RD 2008, Scand J Med Sci Sports",10.1111/j.1600-0838.2008.00835.x,,https://doi.org/10.1111/j.1600-0838.2008.00835.x,Review,General,General,Narrative review,"Two parallel pathways: (a) hypoxia lowers VO2max, raises relative intensity of any given work rate and delays recovery of high-energy phosphates between high-intensity efforts; (b) lower air density reduces drag (helps high-velocity running) but alters ball drag and lift, impairing sensorimotor skills. Effects largest early in exposure and reduced by acclimatisation.",Review; no new data.,Framework used by this project to separate physiology from ball flight.
E17,other,consensus_statement,Consensus / position statement,"Girard O, Amann M, Aughey R, Billaut F, Bishop DJ, Bourdon P et al. 2013, Br J Sports Med (position statement)",10.1136/bjsports-2013-093109,,https://doi.org/10.1136/bjsports-2013-093109,Team-sport athletes,General,General,Position statement,Summarises current knowledge on altitude and team sports; recommends strategies to improve acclimatisation when competing at altitude; flags many unresolved issues.,Position statement; not quantitative.,Context; confirms evidence gaps for team sports.
E18,aerobic_endurance,other_sport_or_general,Other sport / general physiology,"Wehrlin JP, Hallén J 2006, Eur J Appl Physiol",10.1007/s00421-005-0081-9,,https://doi.org/10.1007/s00421-005-0081-9,8 male sea-level endurance-trained athletes,"300, 800, 1300, 1800, 2300, 2800 m (hypobaric chamber, acute)",Acute (hours),Within-subject incremental tests at each altitude,VO2max declined linearly from 66 ± 1.6 mL/kg/min at 300 m to 55 ± 1.6 at 2800 m = 6.3% per 1000 m (individual range 4.6-7.5% per 1000 m); already lower at 800 m than at 300 m; HRmax fell ~1.9 beats/min per 1000 m.,"Endurance athletes, not soccer players; acute chamber exposure; n=8.",Primary slope used for the VO2max line in the model.
E19,acclimatization_timecourse,other_sport_or_general,Other sport / general physiology,"Schuler B, Thomsen JJ, Gassmann M, Lundby C 2007, Scand J Med Sci Sports",10.1111/j.1600-0838.2006.00611.x,,https://doi.org/10.1111/j.1600-0838.2006.00611.x,8 elite cyclists (sea-level residents),2340 m terrestrial,"Tested at sea level and on days 1, 7, 14, 21 at altitude",Longitudinal within-subject,"Day 1: VO2max -12.8%, time to exhaustion at 80% sea-level max power -25.8% (both p<0.05). Improvement ~4%/week (VO2max) and ~6%/week (time to exhaustion) over the first 14 days; no significant further gain from day 14 to 21 (+0.7% VO2max). Hb concentration and arterial O2 content rose with acclimatisation.","Cyclists, n=8; weekly improvement rates taken from a secondary summary of the paper.",Roughly half of the acute aerobic deficit recovers within two weeks; residual deficit persists.
E20,residency_adaptation,other_sport_or_general,Other sport / general physiology,"Saltin B, Larsen H, Terrados N, Bangsbo J et al. 1995, Scand J Med Sci Sports",10.1111/j.1600-0838.1995.tb00037.x,,https://doi.org/10.1111/j.1600-0838.1995.tb00037.x,Kenyan distance runners living/training at ~2000 m; Scandinavian runners,~2000 m vs sea level,Lifelong residence,Cross-sectional physiological testing,Altitude-resident Kenyan runners: VO2max 68 ± 1.4 mL/kg/min at ~2000 m vs 79.9 ± 1.4 at sea level (~15% lower at their home altitude).,"Runners, not soccer; small groups.",Altitude residents are NOT unaffected: their aerobic ceiling is lower at altitude than it would be at sea level.
E21,residency_adaptation,review_or_meta,Review / meta-analysis,"Brutsaert TD 2008, Appl Physiol Nutr Metab",10.1139/h08-009,,https://doi.org/10.1139/h08-009,"Review of high-altitude native populations (Andean, Tibetan)",General,Lifelong / multigenerational,Narrative review,Indigenous high-altitude natives show higher mean VO2max in hypoxia and a smaller VO2max decrement with increasing hypoxia; insufficient evidence for better work economy or endurance capacity; higher exercise SaO2.,Review; developmental vs genetic origins unresolved.,Supports a partial (not complete) resident advantage.
E22,repeated_sprint,other_sport_or_general,Other sport / general physiology,"Balsom PD, Gaitanos GC, Ekblom B, Sjödin B 1994, Acta Physiol Scand",10.1111/j.1748-1716.1994.tb09807.x,,https://doi.org/10.1111/j.1748-1716.1994.tb09807.x,7 male physical education students,Hypobaric chamber 526 mmHg (~3000 m equivalent),Acute,"Within-subject 10 x 6 s cycle sprints, 30 s recovery",Greater loss of pedalling speed across sprints in hypoxia (p<0.05); post-exercise lactate 10.3 vs 8.5 mmol/L; O2 uptake during sprints 6-9 lower (3.03 vs 3.19 L/min).,Non-athletes; cycling; n=7.,Repeated-sprint recovery is impaired under acute hypoxia; first sprints unaffected.
E23,repeated_sprint,simulated_altitude,SIMULATED altitude (hypoxic air),"Goods PSR, Dawson BT, Landers GJ, Gore CJ, Peeling P 2014, Int J Sports Physiol Perform",10.1123/ijspp.2013-0423,,https://doi.org/10.1123/ijspp.2013-0423,10 trained male team-sport athletes,"Simulated 2000, 3000, 4000 m (normobaric hypoxia)",Acute,Randomised within-subject; 3 sets of 9 x 4 s treadmill sprints,"Total work highest at sea level and lower at each successive altitude (SL > 2000 > 3000 > 4000 m, p<0.05). First-set mean power reduced only at 4000 m; in later sets mean power reduced at ALL altitudes. Peak power maintained except set 3 at 4000 m.",Simulated altitude; magnitudes not in abstract; n=10.,"Direct team-sport evidence: single/early sprints preserved, repeated-effort recovery degraded even at 2000 m."
E24,repeated_sprint,simulated_altitude,SIMULATED altitude (hypoxic air),"Townsend N, Brocherie F, Millet GP, Girard O 2020, Exp Physiol",10.1113/ep088485,,https://doi.org/10.1113/ep088485,13 active males,"FiO2 0.21 / 0.17 (~1900 m equiv.) / 0.13 (~3600 m equiv.), normobaric",Acute,Within-subject 8 x 5 s treadmill sprints (25 s recovery) + neuromuscular testing,"Mean sprint distance 22.9 m (SL) vs 22.7 m (moderate, n.s.) vs 22.3 m (severe, p=0.04; ~-2.6%). Peripheral (muscle) fatigue indices higher in severe hypoxia; no additional central fatigue.",Not soccer players; simulated altitude; short protocol.,"Small repeated-sprint cost at ~3600 m-equivalent, negligible at ~1900 m-equivalent for a short set."
E25,repeated_sprint,soccer_pro,Soccer — professional/senior,"Billaut F, Smith K 2010, Int J Sports Physiol Perform",10.1123/ijspp.5.2.197,,https://doi.org/10.1123/ijspp.5.2.197,15 national-level soccer players,Sea level (normoxia),Not applicable,"20 x 5 s cycle sprints, 25 s rest; pulse oximetry, EMG",Mechanical work fell 23.5% over sprints; arterial O2 saturation fell 3.5%; changes in SaO2 tracked work loss (R^2 = 0.68).,Sea-level study; mechanism only.,Shows that O2 availability regulates repeated-sprint fatigue in soccer players — the pathway altitude acts on.
E26,single_sprint,other_sport_or_general,Other sport / general physiology,"Linthorne NP 2016, Sports",10.3390/sports4020029,,https://doi.org/10.3390/sports4020029,"Olympic 100 m sprinters, 13 Games 1964-2012",2250 m (Mexico City 1968) vs low-altitude venues,Not applicable,"De-trended, wind-corrected competition analysis","100 m time advantage at 2250 m: 0.19 ± 0.02 s men, 0.21 ± 0.05 s women (~1.9-2.0%); ~0.10 s per 1000 m, equivalent to a 2 m/s tail wind.",Athletics 100 m (10 s of near-max speed); soccer sprints are 10-30 m where drag saving is smaller.,Single maximal sprint is slightly FASTER at altitude due to lower air density.
E27,single_sprint,other_sport_or_general,Other sport / general physiology,"Hollings SC, Hopkins WG, Hume PA 2012, Eur J Sport Sci",10.1080/17461391.2011.552640,,https://doi.org/10.1080/17461391.2011.552640,"~132,000 performances by elite track athletes, 2000-2009",Venues from sea level to >1000 m,Not applicable,Mixed linear modelling of competition results,"Distance events 2-4% slower above 1000 m, with marginal impairment detectable even at ~150 m; mixed-model estimate of the 100 m advantage at Mexico City altitude ~0.10 s (about half of Linthorne's 0.19 s).",Athletics; values summarised from secondary sources citing the paper.,Direction and rough size of the sprint/endurance split with altitude.
E28,decision_making,review_or_meta,Review / meta-analysis,"McMorris T, Hale BJ, Barwood M, Costello J, Corbett J 2017, Neurosci Biobehav Rev",10.1016/j.neubiorev.2017.01.019,,https://doi.org/10.1016/j.neubiorev.2017.01.019,"22 experiments in healthy humans (lab), exposure <=6 days",Various; PaO2 35-60 mmHg vs >60 mmHg,Acute (<=6 days),Systematic review and meta-regression,"Acute hypoxia impaired cognition with moderate effect (Hedges g = -0.49, 95% CI -0.64 to -0.34); low PaO2 (35-60 mmHg) was the key predictor (R^2 ~0.45); no difference between executive and non-executive tasks.","Lab cognition tasks at rest, not sport decision-making; low-PaO2 studies mostly correspond to altitudes well above 3000 m; corrigendum 2019 reclassified some studies.",Plausible small decision-making cost at high altitude; not quantifiable for soccer at 1500-2500 m -> 'insufficient evidence'.
E29,ball_flight,review_or_meta,Review / meta-analysis,"Goff JE 2013, Sports Engineering",10.1007/s12283-013-0117-z,,https://doi.org/10.1007/s12283-013-0117-z,Review of sport projectile aerodynamics (incl. soccer balls),Physics: drag and Magnus force scale with air density,Not applicable,Narrative review,"Aerodynamic drag and lift/Magnus force are proportional to air density; lower density at altitude means less drag (ball travels further, faster) and less curve for the same spin.",Review; exact ball behaviour depends on ball model and speed regime (drag crisis).,Ball flight changes are physical and immediate; they affect both teams but favour the team more familiar with them.
E30,individual_variability,other_sport_or_general,Other sport / general physiology,"Chapman RF, Stray-Gundersen J, Levine BD 1998, J Appl Physiol",10.1152/jappl.1998.85.4.1448,,https://doi.org/10.1152/jappl.1998.85.4.1448,39 collegiate + 22 elite distance runners,"2500 m living, 1250-2500 m training",28 days,Retrospective responder / non-responder analysis + prospective confirmation,"Responders showed larger acute EPO rise, increased red-cell volume and VO2max; non-responders did not, and slowed interval-training velocity at altitude.",Runners; training camp context.,Individual responses to altitude differ substantially; team means hide large spread.
E31,high_intensity_running,review_or_meta,Review / meta-analysis,"Billaut F, Aughey RJ 2013, Br J Sports Med (update review)",10.1136/bjsports-2013-092834,,https://doi.org/10.1136/bjsports-2013-092834,Review of team-sport altitude studies,1200-3600 m,Various,Narrative review,Summarises: 3.1% lower total distance at 1200-1753 m in the 2010 World Cup with top speed unchanged; 9% lower total distance and 15% lower high-velocity running 4 days after arrival at 1600 m in youth internationals; 1-2 weeks suggested for moderate altitude.,Review; relies on the primary studies above.,Source of the percentage values used for the 1600 m anchor; confirms single-effort speed is preserved.
E32,high_intensity_running,soccer_pro,Soccer — professional/senior,"Alanis A, Salas O, Salas K, Quintero I, Carranza Y, Salazar L 2022, Apunts Sports Medicine",10.1016/j.apunsm.2022.100391,,https://doi.org/10.1016/j.apunsm.2022.100391,"One Liga MX professional club (club not named), 130 league matches, Apertura 2014-Clausura 2018; outfield players completing 90 min","Liga MX venues grouped by FIFA zones: near sea level 0-500 m, low 501-2000 m, moderate 2001-3000 m (Toluca 2670 m, Mexico City ~2240 m, Pachuca, Puebla)",Normal league travel (typically arrival the day before; not controlled),Retrospective camera-tracking (Match Analysis K2) comparison of team physical output and goals across altitude zones,"Per-player total distance essentially unchanged across zones: 9855 ± 836 m near sea level, 10102 ± 1930 m low altitude, 9878 ± 836 m moderate altitude; mean speed 6.26 / 6.40 / 6.22 km/h; sprints per player 19.2 / 20.5 / 19.4; time between sprints 5.30 / 5.06 / 5.38 min. No meaningful altitude penalty detected for this team.","Single club; players substituted or sent off excluded (survivorship); the club plays at moderate altitude every few weeks (habituation); Liga MX squads are largely Mexican and many players have altitude residency histories; numbers from abstract/results snippet, full text not read.",COUNTER-ANCHOR: a Liga MX team routinely exposed to 2000-3000 m showed no running deficit there. Supports the residency/habituation term in the model and warns against applying the sea-level-native penalty to Mexico-based clubs visiting Toluca.
E33,other,policy,Governing-body POLICY (not a study),"FIFA Executive Committee decisions on football at altitude, May 2007 - May 2008 (FIFA.com media release, 14 Mar 2008; contemporaneous news reports)",,https://www.fifa.com/about-fifa/who-we-are/news/upholds-altitude-decision-welcomes-positive-steps-713561,https://www.fifa.com/about-fifa/who-we-are/news/upholds-altitude-decision-welcomes-positive-steps-713561,Governing-body policy (not a study),Thresholds 2500 / 2750 / 3000 m,Acclimatisation rules: >2500 m three days strongly recommended; >2750 m one week mandatory; >3000 m generally not permitted unless two weeks' acclimatisation,Policy decision and revisions,"27 May 2007: international matches banned above 2500 m (citing player health and unfair home advantage; affected La Paz 3600 m, Quito ~2800 m, Bogota ~2650 m, Cusco, and venues in Peru, Chile and Mexico incl. Toluca 2670 m). 27 Jun 2007: limit raised to 3000 m (Bogota, Quito allowed; La Paz, Cusco excluded); Jul 2007 provisional La Paz exemption. 15 Dec 2007 (Tokyo): tiered rule above (2500/2750/3000 m). 14 Mar 2008: tiered rule upheld. 27-29 May 2008: ban suspended after unanimous CONMEBOL protest (Brazil dissenting); Jun 2010 FIFA said altitude was no longer on its agenda.","Policy, not evidence; thresholds reflect the 2008 FIFA consensus (E14) and political negotiation rather than a measured performance cut-off; the 2670 m Toluca venue sat just above the original 2500 m limit and just below the later 2750 m tier.",Shows how the same physiology was translated into rules: the three FIFA tiers map directly onto the 'days since arrival' control (3 d / 7 d / 14 d).
